row,Region,Avg. temperature,Regional Illnesses,Week of
0,01,61.855223880597016,16,10/28/2023
1,02,64.65180722891567,9,10/28/2023
2,03,69.19469964664309,13,10/28/2023
3,04,77.8444293478261,30,10/28/2023
4,05,64.3585877862595,6,10/28/2023
5,06,81.9970178926442,16,10/28/2023
6,07,69.82038834951459,0,10/28/2023
7,08,51.6525773195876,7,10/28/2023
8,09,68.51444444444445,18,10/28/2023
9,10,51.642857142857146,8,10/28/2023
10,01,58.146268656716444,4,10/21/2023
11,02,58.43132530120481,5,10/21/2023
12,03,60.34452296819792,6,10/21/2023
13,04,68.94252717391304,17,10/21/2023
14,05,58.73645038167943,7,10/21/2023
15,06,76.92524850894627,20,10/21/2023
16,07,66.89199029126213,14,10/21/2023
17,08,65.792439862543,18,10/21/2023
18,09,81.25444444444443,76,10/21/2023
19,10,66.08823529411765,8,10/21/2023
20,01,61.18805970149254,3,10/14/2023
21,02,60.68072289156624,3,10/14/2023
22,03,65.32155477031803,6,10/14/2023
23,04,73.38980978260872,25,10/14/2023
24,05,60.06984732824437,8,10/14/2023
25,06,78.3125248508946,17,10/14/2023
26,07,69.07233009708735,9,10/14/2023
27,08,61.70309278350516,14,10/14/2023
28,09,75.26888888888892,47,10/14/2023
29,10,63.41176470588236,5,10/14/2023
30,01,73.82537313432837,23,10/07/2023
31,02,76.6843373493976,11,10/07/2023
32,03,77.52826855123672,20,10/07/2023
33,04,82.96630434782604,44,10/07/2023
34,05,77.70820610687028,21,10/07/2023
35,06,85.91749502982107,58,10/07/2023
36,07,79.59830097087377,22,10/07/2023
37,08,64.95704467353953,16,10/07/2023
38,09,75.05777777777777,59,10/07/2023
39,10,62.81680672268909,19,10/07/2023
40,01,64.14029850746269,6,09/30/2023
41,02,64.05060240963856,8,09/30/2023
42,03,67.26289752650177,5,09/30/2023
43,04,82.3,53,09/30/2023
44,05,73.49770992366413,17,09/30/2023
45,06,92.02345924453272,137,09/30/2023
46,07,83.03834951456315,84,09/30/2023
47,08,71.36701030927834,14,09/30/2023
48,09,77.87333333333329,58,09/30/2023
49,10,62.27478991596639,11,09/30/2023
50,01,68.80597014925374,10,09/23/2023
51,02,70.03614457831323,5,09/23/2023
52,03,74.07561837455823,13,09/23/2023
53,04,82.092527173913,62,09/23/2023
54,05,75.68988549618324,14,09/23/2023
55,06,89.54612326043731,160,09/23/2023
56,07,81.0742718446602,65,09/23/2023
57,08,73.4278350515464,18,09/23/2023
58,09,78.82333333333334,52,09/23/2023
59,10,68.59663865546217,9,09/23/2023
60,01,73.2865671641791,21,09/16/2023
61,02,74.13012048192773,17,09/16/2023
62,03,78.82261484098943,34,09/16/2023
63,04,84.73192934782608,124,09/16/2023
64,05,72.75553435114502,10,09/16/2023
65,06,86.13677932405557,98,09/16/2023
66,07,77.66165048543691,18,09/16/2023
67,08,72.3591065292096,16,09/16/2023
68,09,84.27888888888887,121,09/16/2023
69,10,77.1495798319328,52,09/16/2023
70,01,84.1194029850746,228,09/09/2023
71,02,85.63734939759038,143,09/09/2023
72,03,88.34946996466425,304,09/09/2023
73,04,88.44456521739129,179,09/09/2023
74,05,82.22480916030533,112,09/09/2023
75,06,97.76202783300202,540,09/09/2023
76,07,88.40752427184461,160,09/09/2023
77,08,79.32577319587625,64,09/09/2023
78,09,80.15444444444445,137,09/09/2023
79,10,72.09159663865546,28,09/09/2023
80,01,75.05671641791045,20,09/02/2023
81,02,75.78795180722891,19,09/02/2023
82,03,80.07031802120144,59,09/02/2023
83,04,87.53953804347833,174,09/02/2023
84,05,77.63187022900763,55,09/02/2023
85,06,95.2383697813121,313,09/02/2023
86,07,85.06650485436893,200,09/02/2023
87,08,82.75292096219928,125,09/02/2023
88,09,88.08222222222224,331,09/02/2023
89,10,76.84537815126049,61,09/02/2023
90,01,74.92388059701494,32,08/26/2023
91,02,76.2301204819277,33,08/26/2023
92,03,83.48975265017671,126,08/26/2023
93,04,93.11114130434791,438,08/26/2023
94,05,85.29217557251913,444,08/26/2023
95,06,100.45586481113331,946,08/26/2023
96,07,96.96966019417474,1516,08/26/2023
97,08,81.01615120274911,114,08/26/2023
98,09,83.30777777777779,184,08/26/2023
99,10,76.14705882352938,100,08/26/2023
100,01,75.77014925373135,18,08/19/2023
101,02,78.8469879518072,35,08/19/2023
102,03,84.32826855123679,145,08/19/2023
103,04,89.78899456521735,353,08/19/2023
104,05,77.59732824427476,35,08/19/2023
105,06,97.72326043737581,668,08/19/2023
106,07,82.85097087378634,307,08/19/2023
107,08,82.62439862542945,207,08/19/2023
108,09,92.1055555555556,350,08/19/2023
109,10,89.40084033613445,628,08/19/2023
110,01,77.18955223880599,50,08/12/2023
111,02,78.7734939759036,30,08/12/2023
112,03,82.86961130742048,123,08/12/2023
113,04,89.31861413043478,442,08/12/2023
114,05,80.1509541984733,64,08/12/2023
115,06,98.36381709741559,922,08/12/2023
116,07,84.46480582524266,300,08/12/2023
117,08,78.76254295532648,76,08/12/2023
118,09,89.06444444444448,346,08/12/2023
119,10,77.64117647058826,100,08/12/2023
